iter	Passed	Remaining
0	48	48766
1	49	24771
2	51	17186
3	52	13090
4	53	10611
5	53	8940
6	54	7750
7	55	6859
8	55	6164
9	56	5612
10	57	5157
11	58	4777
12	58	4455
13	59	4177
14	59	3935
15	60	3728
16	61	3545
17	61	3380
18	62	3235
19	63	3101
20	64	2984
21	64	2876
22	65	2776
23	66	2685
24	66	2602
25	67	2525
26	68	2452
27	68	2385
28	69	2323
29	70	2266
30	70	2211
31	71	2160
32	72	2112
33	72	2065
34	73	2021
35	73	1979
36	74	1942
37	75	1904
38	75	1868
39	76	1834
40	77	1801
41	77	1771
42	78	1741
43	78	1712
44	79	1685
45	80	1659
46	80	1634
47	81	1611
48	81	1587
49	82	1565
50	82	1542
51	83	1522
52	84	1502
53	84	1483
54	85	1464
55	85	1446
56	86	1429
57	86	1412
58	87	1395
59	88	1380
60	88	1364
61	89	1350
62	89	1336
63	90	1322
64	90	1308
65	91	1295
66	92	1282
67	92	1266
68	92	1254
69	93	1243
70	94	1232
71	94	1220
72	95	1210
73	95	1199
74	96	1189
75	96	1179
76	97	1169
77	98	1160
78	98	1150
79	99	1141
80	99	1132
81	100	1123
82	100	1114
83	101	1105
84	101	1095
85	102	1088
86	102	1078
87	103	1071
88	103	1063
89	104	1057
90	105	1051
91	105	1045
92	106	1039
93	107	1034
94	108	1029
95	108	1024
96	109	1017
97	109	1012
98	110	1006
99	111	1000
100	111	995
101	112	987
102	112	982
103	113	976
104	113	970
105	114	966
106	115	962
107	115	956
108	116	952
109	117	949
110	117	944
111	118	939
112	119	934
113	119	929
114	120	924
115	120	919
116	121	914
117	121	910
118	122	905
119	122	901
120	123	896
121	124	892
122	124	886
123	124	882
124	125	878
125	126	874
126	126	871
127	127	865
128	127	861
129	128	858
130	128	855
131	129	854
132	130	850
133	131	848
134	131	844
135	132	841
136	133	839
137	133	836
138	134	832
139	135	829
140	135	827
141	136	823
142	136	820
143	137	817
144	138	814
145	138	811
146	139	808
147	139	805
148	140	802
149	141	799
150	141	796
151	142	793
152	142	790
153	143	787
154	144	785
155	144	783
156	145	780
157	145	778
158	146	775
159	147	773
160	148	771
161	148	768
162	149	766
163	149	763
164	150	761
165	151	758
166	151	756
167	152	754
168	152	751
169	153	749
170	154	746
171	154	744
172	155	742
173	155	739
174	156	737
175	157	735
176	157	732
177	158	731
178	158	729
179	159	726
180	159	723
181	160	721
